line_idx,template_id,raw,normalized_raw,template_text
10,10,"2025-10-18T19:41:40.603608Z DEBUG prod.inventory-svc/inventory-svc-001 [us-east-1 node-018] rid=- uid=- tid=- - Kafka poll batchSize=3947 lag=92187 topic=inventory_updates","DEBUG prod.inventory-svc/inventory-svc-001 [us-east-1 node-018] rid=- uid=- tid=- - Kafka poll batchSize=3947 lag=92187 topic=inventory_updates","DEBUG prod.inventory-svc/inventory-svc-001 [us-east-1 node-018] rid=- uid=- tid=- - Kafka poll batchSize=3947 lag=92187 topic=inventory_updates"
11,11,"{""ts"":""2025-10-18T07:33:17.498126Z"",""level"":""ERROR"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-008"",""region"":""us-west-2"",""host"":""node-047"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Inventory reserved sku=SKU-00250 qty=141 orderId=66f92e69-9a90-487c-8dda-4ff59ce575b2""}","{""ts"":""2025-10-18T07:<PORT>:<PORT>.498126Z"",""level"":""ERROR"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-008"",""region"":""us-west-2"",""host"":""node-047"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Inventory reserved sku=SKU-00250 qty=141 orderId=<UUID>""}","{""ts"":""2025-10-18T07:<PORT>:<PORT>.498126Z"",""level"":""ERROR"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-008"",""region"":""us-west-2"",""host"":""node-047"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Inventory reserved sku=SKU-00250 qty=141 orderId=<UUID>""}"
12,12,"{""ts"":""2025-10-18T18:51:40.854834Z"",""level"":""INFO"",""service"":""inventory-svc"",""namespace"":""prod"",""pod"":""inventory-svc-003"",""region"":""eu-central-1"",""host"":""node-048"",""request_id"":""a2a3eae4-432d-4da9-973b-b114ef05aaf8"",""user_id"":null,""trace_id"":""6b1ec8b3-45aa-4864-9f33-bf201ca01a0a"",""message"":""Kafka poll batchSize=1896 lag=24639 topic=payments""}","{""ts"":""2025-10-18T18:<PORT>:<PORT>.854834Z"",""level"":""INFO"",""service"":""inventory-svc"",""namespace"":""prod"",""pod"":""inventory-svc-003"",""region"":""eu-central-1"",""host"":""node-048"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":""<UUID>"",""message"":""Kafka poll batchSize=1896 lag=24639 topic=payments""}","{""ts"":""2025-10-18T18:<PORT>:<PORT>.854834Z"",""level"":""INFO"",""service"":""inventory-svc"",""namespace"":""prod"",""pod"":""inventory-svc-003"",""region"":""eu-central-1"",""host"":""node-048"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":""<UUID>"",""message"":""Kafka poll batchSize=1896 lag=24639 topic=payments""}"
13,13,"2025-10-18T18:48:30.063241Z INFO dev.metrics-collector/metrics-collector-007 [us-west-2 node-005] rid=- uid=- tid=- - Cache GET key=662c1e48 ttl=3304s hit=False","INFO dev.metrics-collector/metrics-collector-007 [us-west-2 node-005] rid=- uid=- tid=- - Cache GET key=662c1e48 ttl=3304s hit=False","INFO dev.metrics-collector/metrics-collector-007 [us-west-2 node-005] rid=- uid=- tid=- - Cache GET key=662c1e48 ttl=3304s hit=False"
14,14,"ts=2025-10-18T14:06:50.732170Z level=FATAL ns=prod svc=kafka-consumer pod=kafka-consumer-004 region=us-east-1 host=node-030 rid=6c874fae-b1f8-4483-a26c-0a2e933eb26c uid=- tid=85b510c8-9472-488f-9562-8cb4b485cb8b msg=Order_state_transition_orderId=8efdcc05-3c7a-4769-867e-bb23276f0df7_from=PACKING_to=DELIVERED","ts=2025-10-18T14:<PORT>:<PORT>.732170Z level=FATAL ns=prod svc=kafka-consumer pod=kafka-consumer-004 region=us-east-1 host=node-030 rid=<UUID> uid=- tid=<UUID> msg=Order_state_transition_orderId=8efdcc05-3c7a-4769-867e-bb23276f0df7_from=PACKING_to=DELIVERED","ts=2025-10-18T14:<PORT>:<PORT>.732170Z level=FATAL ns=prod svc=kafka-consumer pod=kafka-consumer-004 region=us-east-1 host=node-030 rid=<UUID> uid=- tid=<UUID> msg=Order_state_transition_orderId=8efdcc05-3c7a-4769-867e-bb23276f0df7_from=PACKING_to=DELIVERED"
15,15,"{""ts"":""2025-10-18T11:01:45.928954Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-003"",""region"":""eu-central-1"",""host"":""node-042"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""GC cycle completed pause=464ms freed=2048MB""}","{""ts"":""2025-10-18T11:<PORT>:<PORT>.928954Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-003"",""region"":""eu-central-1"",""host"":""node-042"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""GC cycle completed pause=464ms freed=2048MB""}","{""ts"":""2025-10-18T11:<PORT>:<PORT>.928954Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-003"",""region"":""eu-central-1"",""host"":""node-042"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""GC cycle completed pause=464ms freed=2048MB""}"
16,7,"{""ts"":""2025-10-18T09:16:22.873504Z"",""level"":""WARN"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-007"",""region"":""us-west-2"",""host"":""node-033"",""request_id"":""7806a61a-f33c-4409-a800-0be633efe346"",""user_id"":""user-8486"",""trace_id"":null,""message"":""Completed job id=3d8dae2a-137a-4e70-9f64-c44c7407cb16 result=SUCCESS duration=12332ms""}","{""ts"":""2025-10-18T09:<PORT>:<PORT>.873504Z"",""level"":""WARN"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-007"",""region"":""us-west-2"",""host"":""node-033"",""request_id"":""<UUID>"",""user_id"":""user-8486"",""trace_id"":null,""message"":""Completed job id=<UUID> result=SUCCESS duration=12332ms""}","<*> job id=<UUID> result=SUCCESS <*>"
17,16,"2025-10-18T20:27:25.493656Z INFO prod.payment-svc/payment-svc-008 [us-west-2 node-005] rid=- uid=user-1437 tid=9b25e32f-8a81-444c-bce3-d91be35dcc7e - Inventory reserved sku=SKU-00219 qty=123 orderId=f867b823-3975-4566-beae-8f4a93b3d2e3","INFO prod.payment-svc/payment-svc-008 [us-west-2 node-005] rid=- uid=user-1437 tid=<UUID> - Inventory reserved sku=SKU-00219 qty=123 orderId=<UUID>","INFO prod.payment-svc/payment-svc-008 [us-west-2 node-005] rid=- uid=user-1437 tid=<UUID> - Inventory reserved sku=SKU-00219 qty=123 orderId=<UUID>"
18,17,"{""ts"":""2025-10-18T00:15:26.086301Z"",""level"":""INFO"",""service"":""auth-svc"",""namespace"":""prod"",""pod"":""auth-svc-006"",""region"":""us-east-1"",""host"":""node-002"",""request_id"":""9a881325-3cae-4f23-b552-d44fa7564466"",""user_id"":null,""trace_id"":null,""message"":""Drained 60928 messages from queue=q-orders""}","{""ts"":""2025-10-18T00:<PORT>:<PORT>.086301Z"",""level"":""INFO"",""service"":""auth-svc"",""namespace"":""prod"",""pod"":""auth-svc-006"",""region"":""us-east-1"",""host"":""node-002"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":null,""message"":""Drained 60928 messages from queue=q-orders""}","{""ts"":""2025-10-18T00:<PORT>:<PORT>.086301Z"",""level"":""INFO"",""service"":""auth-svc"",""namespace"":""prod"",""pod"":""auth-svc-006"",""region"":""us-east-1"",""host"":""node-002"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":null,""message"":""Drained 60928 messages from queue=q-orders""}"
19,10,"2025-10-18T07:58:28.937721Z DEBUG prod.inventory-svc/inventory-svc-004 [us-east-1 node-026] rid=ce23c900-b8bc-4c93-9366-6c33c29c081c uid=- tid=35be18f9-585c-4fe7-904f-e001170f9485 - Kafka poll batchSize=4111 lag=87592 topic=payments","DEBUG prod.inventory-svc/inventory-svc-004 [us-east-1 node-026] rid=<UUID> uid=- tid=<UUID> - Kafka poll batchSize=4111 lag=87592 topic=payments","DEBUG <*> [us-east-1 <*> <*> uid=- <*> - Kafka poll <*> <*> <*>"
20,18,"{""ts"":""2025-10-18T06:46:56.829707Z"",""level"":""DEBUG"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-007"",""region"":""eu-central-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Order state transition orderId=b4a62ab5-c5bc-4abf-b2dc-347ee59f1f3d from=CANCELLED to=PAID""}","{""ts"":""2025-10-18T06:<PORT>:<PORT>.829707Z"",""level"":""DEBUG"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-007"",""region"":""eu-central-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Order state transition orderId=<UUID> from=CANCELLED to=PAID""}","{""ts"":""2025-10-18T06:<PORT>:<PORT>.829707Z"",""level"":""DEBUG"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-007"",""region"":""eu-central-1"",""host"":""node-046"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Order state transition orderId=<UUID> from=CANCELLED to=PAID""}"
21,19,"ts=2025-10-18T17:39:15.864875Z level=TRACE ns=prod svc=order-svc pod=order-svc-003 region=us-east-1 host=node-005 rid=- uid=user-4120 tid=- msg=Payment_processed_orderId=9ce9baf8-8688-47b3-b3fe-ea4dfc8ced69_amount=813.68_currency=GBP_gateway=stripe_authCode=4773ddd3-4cf","ts=2025-10-18T17:<PORT>:<PORT>.864875Z level=TRACE ns=prod svc=order-svc pod=order-svc-003 region=us-east-1 host=node-005 rid=- uid=user-4120 tid=- msg=Payment_processed_orderId=9ce9baf8-8688-47b3-b3fe-ea4dfc8ced69_amount=813.68_currency=GBP_gateway=stripe_authCode=4773ddd3-4cf","ts=2025-10-18T17:<PORT>:<PORT>.864875Z level=TRACE ns=prod svc=order-svc pod=order-svc-003 region=us-east-1 host=node-005 rid=- uid=user-4120 tid=- msg=Payment_processed_orderId=9ce9baf8-8688-47b3-b3fe-ea4dfc8ced69_amount=813.68_currency=GBP_gateway=stripe_authCode=4773ddd3-4cf"
22,20,"ts=2025-10-18T08:48:13.328340Z level=INFO ns=prod svc=loki-ingestor pod=loki-ingestor-001 region=eu-central-1 host=node-039 rid=f492856a-ef69-43b6-afe8-380e296ea808 uid=- tid=6c386e15-cfd4-4781-9570-1a404607ad15 msg=Kafka_poll_batchSize=1659_lag=96420_topic=orders","ts=2025-10-18T08:<PORT>:<PORT>.328340Z level=INFO ns=prod svc=loki-ingestor pod=loki-ingestor-001 region=eu-central-1 host=node-039 rid=<UUID> uid=- tid=<UUID> msg=Kafka_poll_batchSize=1659_lag=96420_topic=orders","ts=2025-10-18T08:<PORT>:<PORT>.328340Z level=INFO ns=prod svc=loki-ingestor pod=loki-ingestor-001 region=eu-central-1 host=node-039 rid=<UUID> uid=- tid=<UUID> msg=Kafka_poll_batchSize=1659_lag=96420_topic=orders"
23,21,"2025-10-18T18:32:51.023455Z INFO prod.kafka-consumer/kafka-consumer-007 [eu-central-1 node-002] rid=- uid=user-171 tid=- - User user-327 authenticated via oidc ip=70.65.217.242","INFO prod.kafka-consumer/kafka-consumer-007 [eu-central-1 node-002] rid=- uid=user-171 tid=- - User user-327 authenticated via oidc ip=<IP>","INFO prod.kafka-consumer/kafka-consumer-007 [eu-central-1 node-002] rid=- uid=user-171 tid=- - User user-327 authenticated via oidc ip=<IP>"
24,22,"2025-10-18T16:24:16.321894Z TRACE prod.loki-ingestor/loki-ingestor-005 [us-west-2 node-006] rid=- uid=user-2030 tid=- - Drained 43334 messages from queue=q-payments","TRACE prod.loki-ingestor/loki-ingestor-005 [us-west-2 node-006] rid=- uid=user-2030 tid=- - Drained 43334 messages from queue=q-payments","TRACE prod.loki-ingestor/loki-ingestor-005 [us-west-2 node-006] rid=- uid=user-2030 tid=- - Drained 43334 messages from queue=q-payments"
25,23,"2025-10-18T03:59:28.519849Z INFO staging.order-svc/order-svc-008 [us-west-2 node-028] rid=caba5929-0e35-4cc3-9776-31945e240304 uid=- tid=- - GC cycle completed pause=133ms freed=2026MB","INFO staging.order-svc/order-svc-008 [us-west-2 node-028] rid=<UUID> uid=- tid=- - GC cycle completed pause=133ms freed=2026MB","INFO staging.order-svc/order-svc-008 [us-west-2 node-028] rid=<UUID> uid=- tid=- - GC cycle completed pause=133ms freed=2026MB"
26,24,"2025-10-18T11:27:42.335937Z INFO staging.metrics-collector/metrics-collector-008 [eu-central-1 node-017] rid=- uid=- tid=- - Completed job id=7c2b6d9e-e723-459e-bfec-2a9eecc31810 result=SUCCESS duration=684ms","INFO staging.metrics-collector/metrics-collector-008 [eu-central-1 node-017] rid=- uid=- tid=- - Completed job id=<UUID> result=SUCCESS duration=684ms","INFO staging.metrics-collector/metrics-collector-008 [eu-central-1 node-017] rid=- uid=- tid=- - Completed job id=<UUID> result=SUCCESS duration=684ms"
27,25,"{""ts"":""2025-10-18T10:35:26.199457Z"",""level"":""INFO"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-008"",""region"":""us-west-2"",""host"":""node-038"",""request_id"":null,""user_id"":""user-5131"",""trace_id"":""fc1ad226-168a-48ab-a10d-8f961309e3ad"",""message"":""Heartbeat ok uptime=80502s connections=149""}","{""ts"":""2025-10-18T10:<PORT>:<PORT>.199457Z"",""level"":""INFO"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-008"",""region"":""us-west-2"",""host"":""node-038"",""request_id"":null,""user_id"":""user-5131"",""trace_id"":""<UUID>"",""message"":""Heartbeat ok uptime=80502s connections=149""}","{""ts"":""2025-10-18T10:<PORT>:<PORT>.199457Z"",""level"":""INFO"",""service"":""kafka-consumer"",""namespace"":""prod"",""pod"":""kafka-consumer-008"",""region"":""us-west-2"",""host"":""node-038"",""request_id"":null,""user_id"":""user-5131"",""trace_id"":""<UUID>"",""message"":""Heartbeat ok uptime=80502s connections=149""}"
28,26,"ts=2025-10-18T06:15:41.063569Z level=INFO ns=staging svc=order-svc pod=order-svc-002 region=us-west-2 host=node-048 rid=9c741ec2-376b-45ec-8ec5-3acb52120c1a uid=user-1499 tid=- msg=GC_cycle_completed_pause=135ms_freed=706MB","ts=2025-10-18T06:<PORT>:<PORT>.063569Z level=INFO ns=staging svc=order-svc pod=order-svc-002 region=us-west-2 host=node-048 rid=<UUID> uid=user-1499 tid=- msg=GC_cycle_completed_pause=135ms_freed=706MB","ts=2025-10-18T06:<PORT>:<PORT>.063569Z level=INFO ns=staging svc=order-svc pod=order-svc-002 region=us-west-2 host=node-048 rid=<UUID> uid=user-1499 tid=- msg=GC_cycle_completed_pause=135ms_freed=706MB"
29,27,"2025-10-18T01:40:36.979157Z DEBUG prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-041] rid=- uid=- tid=- - Loki ingested lines=88381 stream=stderr bytes=1354281","DEBUG prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-041] rid=- uid=- tid=- - Loki ingested lines=88381 stream=stderr bytes=1354281","DEBUG prod.loki-ingestor/loki-ingestor-003 [eu-central-1 node-041] rid=- uid=- tid=- - Loki ingested lines=88381 stream=stderr bytes=1354281"
30,28,"{""ts"":""2025-10-18T02:27:11.793577Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-005"",""region"":""us-west-2"",""host"":""node-018"",""request_id"":""b2e685ce-7a75-44fe-aeb9-c5c407fc6a5d"",""user_id"":null,""trace_id"":""1cf28c5b-61e9-446e-98ad-6ec9b1df3f4b"",""message"":""Trace cec8e48b-c06f-4ef6-b974-158c9196bfbd span=20997def op=publish_event duration=1292ms""}","{""ts"":""2025-10-18T02:<PORT>:<PORT>.793577Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-005"",""region"":""us-west-2"",""host"":""node-018"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":""<UUID>"",""message"":""Trace <UUID> span=20997def op=publish_event duration=1292ms""}","{""ts"":""2025-10-18T02:<PORT>:<PORT>.793577Z"",""level"":""DEBUG"",""service"":""order-svc"",""namespace"":""prod"",""pod"":""order-svc-005"",""region"":""us-west-2"",""host"":""node-018"",""request_id"":""<UUID>"",""user_id"":null,""trace_id"":""<UUID>"",""message"":""Trace <UUID> span=20997def op=publish_event duration=1292ms""}"
31,29,"2025-10-18T00:42:22.157343Z WARN staging.order-svc/order-svc-006 [us-east-1 node-047] rid=- uid=- tid=- - Received request DELETE /health status=400 latency=2147ms bytes=1349203","WARN staging.order-svc/order-svc-006 [us-east-1 node-047] rid=- uid=- tid=- - Received request DELETE /health status=400 latency=2147ms bytes=1349203","WARN staging.order-svc/order-svc-006 [us-east-1 node-047] rid=- uid=- tid=- - Received request DELETE /health status=400 latency=2147ms bytes=1349203"
32,23,"2025-10-18T21:22:34.545026Z INFO prod.kafka-consumer/kafka-consumer-004 [us-west-2 node-015] rid=3fe129f7-8098-4102-ae00-94eb605b07eb uid=- tid=- - Persisted entity type=InventoryItem id=01830f1a-da36-4130-a114-c0468139adcf duration=2853ms","INFO prod.kafka-consumer/kafka-consumer-004 [us-west-2 node-015] rid=<UUID> uid=- tid=- - Persisted entity type=InventoryItem id=<UUID> duration=2853ms","INFO <*> [us-west-2 <*> rid=<UUID> uid=- tid=- - <*> <*> <*> <*> <*>"
33,30,"2025-10-18T01:06:21.303653Z FATAL prod.inventory-svc/inventory-svc-007 [eu-central-1 node-003] rid=e921aeb3-c7b0-42a8-91ad-dd378a344b04 uid=- tid=- - User user-7774 authenticated via oidc ip=214.32.61.173","FATAL prod.inventory-svc/inventory-svc-007 [eu-central-1 node-003] rid=<UUID> uid=- tid=- - User user-7774 authenticated via oidc ip=<IP>","FATAL prod.inventory-svc/inventory-svc-007 [eu-central-1 node-003] rid=<UUID> uid=- tid=- - User user-7774 authenticated via oidc ip=<IP>"
34,31,"{""ts"":""2025-10-18T20:44:32.447518Z"",""level"":""WARN"",""service"":""payment-svc"",""namespace"":""dev"",""pod"":""payment-svc-004"",""region"":""us-east-1"",""host"":""node-018"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Failed to connect downstream=grafana code=503 timeout=6954ms""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.447518Z"",""level"":""WARN"",""service"":""payment-svc"",""namespace"":""dev"",""pod"":""payment-svc-004"",""region"":""us-east-1"",""host"":""node-018"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Failed to connect downstream=grafana code=503 timeout=6954ms""}","{""ts"":""2025-10-18T20:<PORT>:<PORT>.447518Z"",""level"":""WARN"",""service"":""payment-svc"",""namespace"":""dev"",""pod"":""payment-svc-004"",""region"":""us-east-1"",""host"":""node-018"",""request_id"":null,""user_id"":null,""trace_id"":null,""message"":""Failed to connect downstream=grafana code=503 timeout=6954ms""}"
35,32,"2025-10-18T12:50:41.689575Z INFO prod.payment-svc/payment-svc-005 [us-east-1 node-023] rid=- uid=- tid=- - Trace 2807dcb0-9a2e-4135-9dc0-b7139431c635 span=018e1698 op=http_call duration=851ms","INFO prod.payment-svc/payment-svc-005 [us-east-1 node-023] rid=- uid=- tid=- - Trace <UUID> span=018e1698 op=http_call duration=851ms","INFO prod.payment-svc/payment-svc-005 [us-east-1 node-023] rid=- uid=- tid=- - Trace <UUID> span=018e1698 op=http_call duration=851ms"
36,33,"2025-10-18T15:38:52.477892Z WARN staging.order-svc/order-svc-002 [us-west-2 node-048] rid=- uid=- tid=17070795-7ab9-49b4-ab57-61484d1a7b78 - Inventory reserved sku=SKU-00168 qty=104 orderId=5a666eea-9d6f-47b2-a0e4-ebc4c7131508","WARN staging.order-svc/order-svc-002 [us-west-2 node-048] rid=- uid=- tid=<UUID> - Inventory reserved sku=SKU-00168 qty=104 orderId=<UUID>","WARN staging.order-svc/order-svc-002 [us-west-2 node-048] rid=- uid=- tid=<UUID> - Inventory reserved sku=SKU-00168 qty=104 orderId=<UUID>"
